Transaction ID,Product Name,Category,Sales Channel,Region,State,Store Type,Quantity Sold,Unit Price,Revenue,Cost Price,Returns,Inventory at Sale,Customer ID,Order Date,Discount %,Footfall,Order Year,Order Month,Order Quarter,Product Size
TID00001,Mother Dairy Milk,Dairy,Online,East,Uttar Pradesh,Convenience Store,36,60,2160,52,0,44,CID209,21-10-2024,0,1763,2024,10,4,1L
TID00002,Lays Chips,Snacks,Online,East,Maharashtra,Supermarket,37,20,740,14,2,46,CID282,04-02-2025,11,233,2025,2,1,52g
TID00003,Dettol Surface Cleaner,Household,Offline,East,Uttar Pradesh,Department Store,29,120,3480,100,1,51,CID476,29-05-2023,26,1354,2023,5,2,500ml
TID00004,Coca-Cola,Beverages,Offline,South,Delhi,Online,45,45,2025,35,0,69,CID226,16-05-2023,17,1184,2023,5,2,750ml
TID00005,Vim Bar,Household,Online,South,Delhi,Convenience Store,34,25,850,20,1,45,CID452,05-10-2023,5,612,2023,10,4,300g
TID00006,Frooti,Beverages,Offline,South,West Bengal,Convenience Store,14,60,840,50,3,32,CID41,22-05-2023,18,1924,2023,5,2,1.2L
TID00007,Surf Excel,Household,Online,East,Uttar Pradesh,Convenience Store,17,250,4250,220,0,25,CID47,28-04-2023,23,1051,2023,4,2,1kg
TID00008,Nivea Cream,Personal Care,Online,West,Tamil Nadu,Supermarket,8,249,1992,220,2,21,CID119,18-02-2024,3,507,2024,2,1,200ml
TID00009,Coca-Cola,Beverages,Online,North,West Bengal,Convenience Store,6,45,270,35,2,11,CID305,27-11-2024,24,800,2024,11,4,750ml
TID00010,Mother Dairy Milk,Dairy,Offline,West,Uttar Pradesh,Department Store,5,60,300,52,2,27,CID267,11-12-2024,16,434,2024,12,4,1L
TID00011,Coca-Cola,Beverages,Online,West,West Bengal,Convenience Store,47,45,2115,35,1,69,CID100,18-09-2023,29,407,2023,9,3,750ml
TID00012,Bisleri Water,Beverages,Online,North,Maharashtra,Convenience Store,5,20,100,15,4,15,CID201,29-11-2023,16,594,2023,11,4,1L
TID00013,Lifebuoy,Personal Care,Offline,North,West Bengal,Convenience Store,19,35,665,25,0,24,CID451,21-06-2024,5,1025,2024,6,2,100g
TID00014,Lizol,Household,Online,East,West Bengal,Supermarket,8,190,1520,160,5,20,CID299,16-09-2023,7,561,2023,9,3,975ml
TID00015,Pantene Shampoo,Personal Care,Offline,East,Maharashtra,Department Store,42,120,5040,100,1,55,CID129,08-03-2024,25,299,2024,3,1,180ml
TID00016,Lizol,Household,Online,West,Tamil Nadu,Supermarket,32,190,6080,160,4,56,CID34,26-12-2023,15,84,2023,12,4,975ml
TID00017,Frooti,Beverages,Offline,West,West Bengal,Convenience Store,5,60,300,50,2,26,CID208,14-06-2023,15,239,2023,6,2,1.2L
TID00018,Red Bull,Beverages,Online,West,Delhi,Department Store,50,125,6250,105,0,55,CID7,29-08-2024,4,961,2024,8,3,250ml
TID00019,Dettol Surface Cleaner,Household,Offline,East,Tamil Nadu,Department Store,6,120,720,100,1,11,CID372,11-04-2024,6,255,2024,4,2,500ml
TID00020,Pantene Shampoo,Personal Care,Offline,North,West Bengal,Online,30,120,3600,100,0,43,CID136,28-10-2024,7,1146,2024,10,4,180ml
TID00021,Mother Dairy Milk,Dairy,Offline,South,Maharashtra,Supermarket,43,60,2580,52,0,53,CID491,28-09-2023,3,224,2023,9,3,1L
TID00022,Nestle Yogurt,Dairy,Online,East,West Bengal,Convenience Store,39,25,975,20,3,46,CID439,21-07-2024,21,1039,2024,7,3,100g
TID00023,Amul Cheese,Dairy,Offline,North,Uttar Pradesh,Supermarket,34,130,4420,110,1,46,CID308,19-02-2024,15,653,2024,2,1,200g
TID00024,Coca-Cola,Beverages,Online,West,Uttar Pradesh,Supermarket,6,45,270,35,3,28,CID362,29-11-2023,5,383,2023,11,4,750ml
TID00025,Lifebuoy,Personal Care,Offline,West,Uttar Pradesh,Department Store,16,35,560,25,1,37,CID176,30-12-2023,23,429,2023,12,4,100g
TID00026,Vim Bar,Household,Offline,West,Uttar Pradesh,Online,41,25,1025,20,4,59,CID330,18-04-2023,3,227,2023,4,2,300g
TID00027,Vim Bar,Household,Offline,North,Uttar Pradesh,Online,47,25,1175,20,3,67,CID74,17-04-2023,27,1902,2023,4,2,300g
TID00028,Lizol,Household,Online,West,Tamil Nadu,Convenience Store,7,190,1330,160,0,18,CID222,09-01-2024,13,600,2024,1,1,975ml
TID00029,Lifebuoy,Personal Care,Online,East,Tamil Nadu,Department Store,18,35,630,25,1,26,CID39,02-10-2024,9,1361,2024,10,4,100g
TID00030,Bisleri Water,Beverages,Offline,North,Uttar Pradesh,Convenience Store,37,20,740,15,1,46,CID400,27-04-2023,20,447,2023,4,2,1L
TID00031,Nivea Cream,Personal Care,Online,West,Maharashtra,Convenience Store,21,249,5229,220,5,38,CID321,19-08-2024,14,231,2024,8,3,200ml
TID00032,Pantene Shampoo,Personal Care,Offline,West,Delhi,Department Store,39,120,4680,100,3,54,CID348,09-02-2024,8,896,2024,2,1,180ml
TID00033,Haldiram Bhujia,Snacks,Offline,West,Maharashtra,Department Store,21,55,1155,45,5,37,CID253,11-12-2024,7,1414,2024,12,4,200g
TID00034,Lizol,Household,Online,North,Maharashtra,Department Store,10,190,1900,160,4,17,CID197,02-01-2024,19,553,2024,1,1,975ml
TID00035,Mother Dairy Milk,Dairy,Online,West,Delhi,Supermarket,11,60,660,52,3,30,CID36,05-12-2023,20,261,2023,12,4,1L
TID00036,Dettol Surface Cleaner,Household,Offline,South,Uttar Pradesh,Supermarket,28,120,3360,100,4,38,CID403,16-03-2025,13,1559,2025,3,1,500ml
TID00037,Frooti,Beverages,Offline,East,Delhi,Online,48,60,2880,50,3,70,CID246,02-09-2024,15,391,2024,9,3,1.2L
TID00038,Nivea Cream,Personal Care,Offline,South,Uttar Pradesh,Supermarket,31,249,7719,220,5,47,CID4,05-07-2024,9,120,2024,7,3,200ml
TID00039,Amul Butter,Dairy,Online,East,Delhi,Supermarket,7,275,1925,250,0,27,CID130,20-06-2023,0,660,2023,6,2,500g
TID00040,Amul Butter,Dairy,Offline,East,Maharashtra,Department Store,47,275,12925,250,2,57,CID454,03-01-2024,27,1266,2024,1,1,500g
TID00041,Harpic,Household,Online,East,West Bengal,Supermarket,13,95,1235,80,2,25,CID216,14-02-2024,20,464,2024,2,1,500ml
TID00042,Mother Dairy Milk,Dairy,Offline,East,Maharashtra,Supermarket,30,60,1800,52,0,53,CID294,10-06-2024,2,660,2024,6,2,1L
TID00043,Nivea Cream,Personal Care,Online,West,Uttar Pradesh,Supermarket,42,249,10458,220,1,54,CID234,22-02-2025,24,1342,2025,2,1,200ml
TID00044,Danone Curd,Dairy,Offline,South,West Bengal,Department Store,25,60,1500,50,0,36,CID234,06-06-2024,28,1516,2024,6,2,400g
TID00045,Parle G,Snacks,Offline,North,Delhi,Online,45,40,1800,30,5,55,CID199,19-12-2024,24,1162,2024,12,4,300g
TID00046,Bingo,Snacks,Offline,South,West Bengal,Supermarket,38,18,684,12,4,49,CID69,14-04-2023,15,1177,2023,4,2,85g
TID00047,Dove Soap,Personal Care,Offline,West,West Bengal,Supermarket,50,45,2250,35,1,55,CID499,18-02-2025,19,1435,2025,2,1,100g
TID00048,Bisleri Water,Beverages,Online,West,Tamil Nadu,Convenience Store,19,20,380,15,2,26,CID403,22-01-2024,30,1754,2024,1,1,1L
TID00049,Harpic,Household,Offline,South,Tamil Nadu,Online,7,95,665,80,0,12,CID412,24-12-2023,11,695,2023,12,4,500ml
TID00050,Bingo,Snacks,Offline,West,Uttar Pradesh,Department Store,4,18,72,12,5,10,CID439,25-10-2024,1,1581,2024,10,4,85g
TID00051,Nestle Yogurt,Dairy,Offline,West,Uttar Pradesh,Supermarket,41,25,1025,20,3,50,CID32,20-08-2023,12,688,2023,8,3,100g
TID00052,Red Bull,Beverages,Offline,North,Uttar Pradesh,Convenience Store,26,125,3250,105,4,36,CID313,22-06-2023,3,225,2023,6,2,250ml
TID00053,Harpic,Household,Online,North,Delhi,Convenience Store,3,95,285,80,2,25,CID230,01-02-2024,13,1069,2024,2,1,500ml
TID00054,Surf Excel,Household,Offline,East,Maharashtra,Convenience Store,12,250,3000,220,1,31,CID184,23-10-2024,29,1286,2024,10,4,1kg
TID00055,Parle G,Snacks,Offline,South,Delhi,Online,10,40,400,30,0,23,CID173,12-10-2024,17,440,2024,10,4,300g
TID00056,Danone Curd,Dairy,Offline,North,Maharashtra,Online,9,60,540,50,4,17,CID157,17-11-2024,18,1367,2024,11,4,400g
TID00057,Nestle Yogurt,Dairy,Offline,South,West Bengal,Convenience Store,38,25,950,20,3,58,CID388,09-01-2025,26,1165,2025,1,1,100g
TID00058,Amul Butter,Dairy,Online,West,Tamil Nadu,Department Store,32,275,8800,250,4,41,CID74,09-01-2024,20,820,2024,1,1,500g
TID00059,Pantene Shampoo,Personal Care,Online,South,Delhi,Department Store,36,120,4320,100,1,57,CID202,04-08-2023,25,1532,2023,8,3,180ml
TID00060,Harpic,Household,Offline,East,West Bengal,Supermarket,22,95,2090,80,1,38,CID98,22-04-2024,8,791,2024,4,2,500ml
TID00061,Pantene Shampoo,Personal Care,Online,East,Tamil Nadu,Supermarket,8,120,960,100,3,21,CID333,20-02-2024,30,397,2024,2,1,180ml
TID00062,Mother Dairy Milk,Dairy,Offline,East,West Bengal,Supermarket,20,60,1200,52,5,41,CID230,24-09-2024,18,1120,2024,9,3,1L
TID00063,Colgate Toothpaste,Personal Care,Online,West,Delhi,Online,40,110,4400,95,3,52,CID296,20-10-2024,25,1255,2024,10,4,150g
TID00064,Nestle Yogurt,Dairy,Online,East,Delhi,Supermarket,42,25,1050,20,4,63,CID109,24-04-2023,30,326,2023,4,2,100g
TID00065,Amul Cheese,Dairy,Online,West,Maharashtra,Department Store,10,130,1300,110,3,30,CID174,17-08-2023,14,668,2023,8,3,200g
TID00066,Amul Cheese,Dairy,Offline,South,Tamil Nadu,Supermarket,45,130,5850,110,1,53,CID471,29-09-2023,29,1735,2023,9,3,200g
TID00067,Mother Dairy Milk,Dairy,Online,South,Maharashtra,Department Store,32,60,1920,52,4,51,CID135,25-03-2025,30,384,2025,3,1,1L
TID00068,Dove Soap,Personal Care,Offline,West,West Bengal,Department Store,17,45,765,35,1,26,CID265,05-11-2024,28,1309,2024,11,4,100g
TID00069,Harpic,Household,Online,East,Uttar Pradesh,Department Store,15,95,1425,80,2,39,CID138,15-03-2025,4,285,2025,3,1,500ml
TID00070,Danone Curd,Dairy,Offline,South,Delhi,Convenience Store,7,60,420,50,1,27,CID5,04-01-2024,1,432,2024,1,1,400g
TID00071,Colgate Toothpaste,Personal Care,Offline,West,Tamil Nadu,Department Store,43,110,4730,95,5,60,CID327,30-08-2024,6,105,2024,8,3,150g
TID00072,Haldiram Bhujia,Snacks,Offline,North,Uttar Pradesh,Convenience Store,24,55,1320,45,4,35,CID289,31-07-2024,29,652,2024,7,3,200g
TID00073,Red Bull,Beverages,Online,West,Maharashtra,Online,15,125,1875,105,5,29,CID370,02-09-2023,14,341,2023,9,3,250ml
TID00074,Danone Curd,Dairy,Offline,East,Uttar Pradesh,Supermarket,34,60,2040,50,3,55,CID349,08-01-2025,29,1890,2025,1,1,400g
TID00075,Dove Soap,Personal Care,Offline,South,Uttar Pradesh,Supermarket,6,45,270,35,3,25,CID226,03-10-2023,15,1869,2023,10,4,100g
TID00076,Surf Excel,Household,Online,West,Delhi,Convenience Store,21,250,5250,220,1,37,CID267,20-11-2024,6,184,2024,11,4,1kg
TID00077,Surf Excel,Household,Offline,South,Uttar Pradesh,Convenience Store,20,250,5000,220,1,26,CID236,06-12-2023,8,617,2023,12,4,1kg
TID00078,Nivea Cream,Personal Care,Online,West,Maharashtra,Convenience Store,8,249,1992,220,4,31,CID405,06-04-2024,30,680,2024,4,2,200ml
TID00079,Surf Excel,Household,Online,South,Maharashtra,Department Store,44,250,11000,220,5,59,CID319,11-11-2023,13,707,2023,11,4,1kg
TID00080,Lizol,Household,Online,South,Uttar Pradesh,Convenience Store,35,190,6650,160,0,49,CID86,13-09-2024,4,677,2024,9,3,975ml
TID00081,Lays Chips,Snacks,Offline,South,Maharashtra,Online,3,20,60,14,1,17,CID208,02-08-2023,19,152,2023,8,3,52g
TID00082,Dove Soap,Personal Care,Offline,South,West Bengal,Online,19,45,855,35,1,37,CID137,21-11-2023,28,907,2023,11,4,100g
TID00083,Nivea Cream,Personal Care,Online,East,West Bengal,Department Store,7,249,1743,220,1,17,CID377,21-10-2023,15,51,2023,10,4,200ml
TID00084,Frooti,Beverages,Offline,South,West Bengal,Convenience Store,33,60,1980,50,3,39,CID85,22-09-2023,17,1608,2023,9,3,1.2L
TID00085,Colgate Toothpaste,Personal Care,Online,East,Tamil Nadu,Supermarket,13,110,1430,95,1,19,CID348,08-12-2023,15,115,2023,12,4,150g
TID00086,Surf Excel,Household,Offline,South,Delhi,Department Store,14,250,3500,220,5,28,CID247,16-07-2024,30,383,2024,7,3,1kg
TID00087,Coca-Cola,Beverages,Offline,East,Uttar Pradesh,Department Store,13,45,585,35,5,25,CID368,03-02-2025,17,146,2025,2,1,750ml
TID00088,Coca-Cola,Beverages,Online,East,Tamil Nadu,Department Store,44,45,1980,35,3,56,CID274,04-08-2024,24,1505,2024,8,3,750ml
TID00089,Parle G,Snacks,Offline,West,Uttar Pradesh,Online,20,40,800,30,0,25,CID82,27-11-2023,18,1067,2023,11,4,300g
TID00090,Coca-Cola,Beverages,Online,East,Tamil Nadu,Convenience Store,34,45,1530,35,4,44,CID212,23-07-2024,16,1851,2024,7,3,750ml
TID00091,Lays Chips,Snacks,Offline,South,West Bengal,Convenience Store,11,20,220,14,0,30,CID249,04-02-2025,4,1138,2025,2,1,52g
TID00092,Haldiram Bhujia,Snacks,Online,West,Maharashtra,Department Store,23,55,1265,45,2,45,CID27,08-09-2024,29,111,2024,9,3,200g
TID00093,Harpic,Household,Online,South,West Bengal,Online,46,95,4370,80,1,68,CID457,22-03-2025,30,1269,2025,3,1,500ml
TID00094,Parle G,Snacks,Online,West,Delhi,Convenience Store,2,40,80,30,2,10,CID261,22-11-2024,18,1143,2024,11,4,300g
TID00095,Dove Soap,Personal Care,Offline,East,Maharashtra,Department Store,18,45,810,35,3,28,CID210,04-09-2024,20,891,2024,9,3,100g
TID00096,Bisleri Water,Beverages,Online,East,Maharashtra,Convenience Store,5,20,100,15,3,18,CID380,22-04-2023,18,173,2023,4,2,1L
TID00097,Lizol,Household,Offline,South,Delhi,Online,29,190,5510,160,0,44,CID498,24-07-2024,1,1248,2024,7,3,975ml
TID00098,Nestle Yogurt,Dairy,Offline,West,Uttar Pradesh,Convenience Store,16,25,400,20,4,38,CID181,26-12-2023,6,1535,2023,12,4,100g
TID00099,Mother Dairy Milk,Dairy,Offline,West,Maharashtra,Convenience Store,50,60,3000,52,2,61,CID322,07-04-2023,28,537,2023,4,2,1L
TID00100,Pantene Shampoo,Personal Care,Online,East,Uttar Pradesh,Supermarket,34,120,4080,100,0,49,CID295,04-12-2024,23,1803,2024,12,4,180ml
TID00101,Haldiram Bhujia,Snacks,Offline,South,Delhi,Online,38,55,2090,45,3,62,CID159,25-06-2024,4,1908,2024,6,2,200g
TID00102,Lifebuoy,Personal Care,Online,North,Delhi,Department Store,48,35,1680,25,1,67,CID143,13-09-2023,7,990,2023,9,3,100g
TID00103,Lifebuoy,Personal Care,Online,West,West Bengal,Online,10,35,350,25,3,18,CID422,08-04-2024,18,1980,2024,4,2,100g
TID00104,Frooti,Beverages,Online,East,West Bengal,Supermarket,39,60,2340,50,1,51,CID338,30-03-2024,22,1035,2024,3,1,1.2L
TID00105,Vim Bar,Household,Offline,East,Uttar Pradesh,Supermarket,5,25,125,20,2,26,CID19,13-01-2025,30,647,2025,1,1,300g
TID00106,Mother Dairy Milk,Dairy,Online,West,Delhi,Convenience Store,48,60,2880,52,3,55,CID159,30-09-2023,2,79,2023,9,3,1L
TID00107,Amul Butter,Dairy,Offline,West,Maharashtra,Convenience Store,28,275,7700,250,0,42,CID442,14-09-2023,0,1888,2023,9,3,500g
TID00108,Lays Chips,Snacks,Online,North,Tamil Nadu,Department Store,17,20,340,14,4,33,CID464,26-04-2024,14,1844,2024,4,2,52g
TID00109,Dettol Surface Cleaner,Household,Online,South,Maharashtra,Supermarket,15,120,1800,100,0,20,CID312,24-06-2024,12,1728,2024,6,2,500ml
TID00110,Frooti,Beverages,Online,North,Maharashtra,Supermarket,21,60,1260,50,4,30,CID94,22-01-2024,20,1809,2024,1,1,1.2L
TID00111,Tropicana Juice,Beverages,Offline,West,Tamil Nadu,Department Store,13,110,1430,90,4,32,CID270,26-02-2024,12,1282,2024,2,1,1L
TID00112,Lays Chips,Snacks,Offline,South,Tamil Nadu,Supermarket,24,20,480,14,3,46,CID489,16-06-2023,12,763,2023,6,2,52g
TID00113,Surf Excel,Household,Offline,South,Delhi,Supermarket,46,250,11500,220,0,66,CID248,25-10-2023,30,1443,2023,10,4,1kg
TID00114,Nivea Cream,Personal Care,Offline,North,Maharashtra,Online,17,249,4233,220,0,40,CID349,23-09-2023,14,219,2023,9,3,200ml
TID00115,Parle G,Snacks,Offline,West,Uttar Pradesh,Supermarket,8,40,320,30,4,27,CID472,29-11-2023,2,1425,2023,11,4,300g
TID00116,Frooti,Beverages,Offline,East,Uttar Pradesh,Online,33,60,1980,50,1,57,CID59,27-08-2023,20,1231,2023,8,3,1.2L
TID00117,Bingo,Snacks,Offline,West,Uttar Pradesh,Supermarket,45,18,810,12,1,67,CID116,11-11-2023,1,404,2023,11,4,85g
TID00118,Lifebuoy,Personal Care,Offline,East,Uttar Pradesh,Online,37,35,1295,25,3,58,CID76,29-01-2025,11,346,2025,1,1,100g
TID00119,Haldiram Bhujia,Snacks,Online,West,Tamil Nadu,Online,7,55,385,45,3,25,CID402,26-07-2023,8,957,2023,7,3,200g
TID00120,Dettol Surface Cleaner,Household,Offline,South,Maharashtra,Convenience Store,48,120,5760,100,3,71,CID30,02-05-2023,13,1450,2023,5,2,500ml
TID00121,Dove Soap,Personal Care,Offline,North,West Bengal,Department Store,14,45,630,35,4,21,CID375,23-03-2024,29,902,2024,3,1,100g
TID00122,Harpic,Household,Offline,East,West Bengal,Convenience Store,48,95,4560,80,4,58,CID403,16-08-2024,26,303,2024,8,3,500ml
TID00123,Pantene Shampoo,Personal Care,Offline,East,Tamil Nadu,Online,30,120,3600,100,5,41,CID94,11-08-2023,7,568,2023,8,3,180ml
TID00124,Lays Chips,Snacks,Online,South,Tamil Nadu,Department Store,7,20,140,14,3,21,CID33,14-11-2024,23,1485,2024,11,4,52g
TID00125,Nivea Cream,Personal Care,Online,North,Maharashtra,Online,34,249,8466,220,3,54,CID289,30-11-2023,14,113,2023,11,4,200ml
TID00126,Vim Bar,Household,Online,North,Delhi,Department Store,49,25,1225,20,4,67,CID44,20-01-2025,7,1146,2025,1,1,300g
TID00127,Nestle Yogurt,Dairy,Offline,North,Uttar Pradesh,Supermarket,1,25,25,20,3,13,CID137,10-12-2024,5,411,2024,12,4,100g
TID00128,Red Bull,Beverages,Offline,West,Uttar Pradesh,Supermarket,19,125,2375,105,5,39,CID279,25-08-2023,3,1112,2023,8,3,250ml
TID00129,Harpic,Household,Offline,West,West Bengal,Department Store,15,95,1425,80,0,28,CID199,27-02-2024,17,1407,2024,2,1,500ml
TID00130,Surf Excel,Household,Offline,East,Uttar Pradesh,Convenience Store,28,250,7000,220,4,39,CID358,04-05-2023,7,858,2023,5,2,1kg
TID00131,Lays Chips,Snacks,Online,East,Delhi,Department Store,45,20,900,14,1,67,CID308,15-07-2023,28,67,2023,7,3,52g
TID00132,Mother Dairy Milk,Dairy,Online,South,Delhi,Department Store,39,60,2340,52,3,60,CID466,31-12-2023,19,1126,2023,12,4,1L
TID00133,Bisleri Water,Beverages,Online,East,Uttar Pradesh,Supermarket,36,20,720,15,2,43,CID35,24-12-2023,18,1331,2023,12,4,1L
TID00134,Nestle Yogurt,Dairy,Online,West,Uttar Pradesh,Department Store,2,25,50,20,3,13,CID88,01-08-2023,4,364,2023,8,3,100g
